,Unnamed: 0,static_text,log_level,tokens,pos,posNum
30,16110,could not lock IndexWriter,warn,"[could, not, lock, IndexWriter]","['AUX', 'PART', 'VERB', 'PROPN']","[87, 94, 100, 96]"
31,6663,* - invalid column number: * at row * *,warn,"[ , invalid, column, number, at, row]","['SPACE', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN']","[103, 84, 92, 92, 85, 92]"
32,16715,listener failed while handling triggered event [*],warn,"[listener, failed, while, handling, triggered, event]","['NOUN', 'VERB', 'SCONJ', 'VERB', 'VERB', 'NOUN']","[92, 100, 98, 100, 100, 92]"
33,3945,Skipping removeExpiredKeys() because not running as master.,info,"[Skipping, removeExpiredKeys, because, not, running, as, master]","['VERB', 'NOUN', 'SCONJ', 'PART', 'VERB', 'ADP', 'NOUN']","[100, 92, 98, 94, 100, 85, 92]"
34,14787,Becoming a voting participant,info,"[Becoming, a, voting, participant]","['VERB', 'DET', 'NOUN', 'NOUN']","[100, 90, 92, 92]"
35,3199,Compacting ,info,[Compacting],['VERB'],[100]
36,3400,Unable to run in-memory compaction on */*; exception=*,warn,"[Unable, to, run, in, memory, compaction, on, exception]","['ADJ', 'PART', 'VERB', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN']","[84, 94, 100, 85, 92, 92, 85, 92]"
37,15750,"failed to apply updated cluster state in [*]:\nversion [*], uuid [*], source [*]",warn,"[failed, to, apply, updated, cluster, state, in, nversion, uuid, source]","['VERB', 'PART', 'VERB', 'VERB', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN']","[100, 94, 100, 100, 92, 92, 85, 92, 84, 92]"
38,11401,Could not create remote rpc invocation message. Failing rpc invocation because...,warn,"[Could, not, create, remote, rpc, invocation, message, Failing, rpc, invocation, because]","['AUX', 'PART', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'SCONJ']","[87, 94, 100, 84, 92, 92, 92, 100, 92, 92, 98]"
39,9410,Public key authentication failed for user *: *,warn,"[Public, key, authentication, failed, for, user]","['ADJ', 'ADJ', 'NOUN', 'VERB', 'ADP', 'NOUN']","[84, 84, 92, 100, 85, 92]"
40,5957,Retry reset after: *,info,"[Retry, reset, after]","['NOUN', 'VERB', 'ADP']","[92, 100, 85]"
41,5,Added * regions to meta.,info,"[Added, regions, to, meta]","['VERB', 'NOUN', 'PART', 'VERB']","[100, 92, 94, 100]"
42,8056,"Executor has been shut down, not submitting *",info,"[Executor, has, been, shut, down, not, submitting]","['PROPN', 'AUX', 'AUX', 'VERB', 'ADP', 'PART', 'VERB']","[96, 87, 87, 100, 85, 94, 100]"
43,3561,Open region aborted since it isn't opening any more,warn,"[Open, region, aborted, since, it, isn, t, opening, any, more]","['ADJ', 'NOUN', 'VERB', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'VERB', 'PRON', 'ADV']","[84, 92, 100, 98, 95, 100, 92, 100, 95, 86]"
44,13778,*: Deactivating RoundTripWorker.,info,"[ , Deactivating, RoundTripWorker]","['SPACE', 'PROPN', 'PROPN']","[103, 96, 96]"
45,17601,out: *,info,[out],['ADP'],[85]
46,698,Unbalancing regions,info,"[Unbalancing, regions]","['VERB', 'NOUN']","[100, 92]"
47,16905,[*] Starting data frame analytics,info,"[ , Starting, data, frame, analytics]","['SPACE', 'VERB', 'NOUN', 'NOUN', 'NOUN']","[103, 100, 92, 92, 92]"
48,15370,cannot obtain short path for [*] because JNA is not available,warn,"[can, not, obtain, short, path, for, because, JNA, is, not, available]","['AUX', 'PART', 'VERB', 'ADJ', 'NOUN', 'ADP', 'SCONJ', 'PROPN', 'AUX', 'PART', 'ADJ']","[87, 94, 100, 84, 92, 85, 98, 96, 87, 94, 84]"
49,10629,"Could not acknowledge the checkpoint * for task * of job * at *, because the task's execution attempt id was unknown. Discarding the state handle to avoid lingering state.",warn,"[Could, not, acknowledge, the, checkpoint, for, task, of, job, at, because, the, task, s, execution, attempt, i, d, was, unknown, Discarding, the, state, handle, to, avoid, lingering, state]","['AUX', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'SCONJ', 'DET', 'NOUN', 'PART', 'NOUN', 'NOUN', 'PROPN', 'PROPN', 'AUX', 'ADJ', 'VERB', 'DET', 'NOUN', 'VERB', 'PART', 'VERB', 'VERB', 'NOUN']","[87, 94, 100, 90, 92, 85, 92, 85, 92, 85, 98, 90, 92, 94, 92, 92, 96, 96, 87, 84, 100, 90, 92, 100, 94, 100, 100, 92]"
50,9298,Repository blacklist URI is empty. Ignoring.,warn,"[Repository, blacklist, URI, is, empty, Ignoring]","['NOUN', 'NOUN', 'PROPN', 'AUX', 'ADJ', 'VERB']","[92, 92, 96, 87, 84, 100]"
51,3306,"Serving as  | , RpcServer on  | , sessionid=0x",info,"[Serving, as, RpcServer, on, sessionid, 0x]","['VERB', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN']","[100, 85, 96, 85, 96, 96]"
52,11302,Starting the SlotManager.,info,"[Starting, the, SlotManager]","['VERB', 'DET', 'PROPN']","[100, 90, 96]"
53,14554,******* GOODBYE * ********,warn,"[ , GOODBYE]","['SPACE', 'PROPN']","[103, 96]"
54,6895,Valid alias found for *,info,"[Valid, alias, found, for]","['ADJ', 'NOUN', 'VERB', 'ADP']","[84, 92, 100, 85]"
55,13659,Finished reporting metrics with response code *,info,"[Finished, reporting, metrics, with, response, code]","['VERB', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN']","[100, 100, 92, 85, 92, 92]"
56,9531,      adding overriden maven artifact:  |  (original location:  | ),info,"[ , adding, overriden, maven, artifact, original, location]","['SPACE', 'VERB', 'PROPN', 'PROPN', 'PROPN', 'ADJ', 'NOUN']","[103, 100, 96, 96, 96, 84, 92]"
57,8695,Endpoint * is down and will not receive data for re-replication of *,warn,"[Endpoint, is, down, and, will, not, receive, data, for, re, replication, of]","['NOUN', 'AUX', 'ADV', 'CCONJ', 'AUX', 'PART', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP']","[92, 87, 86, 89, 87, 94, 100, 92, 85, 92, 92, 85]"
58,13095,Tasks * configs updated,info,"[Tasks, configs, updated]","['NOUN', 'NOUN', 'VERB']","[92, 92, 100]"
59,17124,[*] Error processing autodetect result,warn,"[ , Error, processing, autodetect, result]","['SPACE', 'NOUN', 'NOUN', 'NOUN', 'NOUN']","[103, 92, 92, 92, 92]"
60,11677, Program Arguments:,info,"[ , Program, Arguments]","['SPACE', 'PROPN', 'PROPN']","[103, 96, 96]"
61,8495,[repair #*] Sending completed merkle tree to * for *.*,info,"[ , repair, Sending, completed, merkle, tree, to, for]","['SPACE', 'NOUN', 'VERB', 'VERB', 'NOUN', 'NOUN', 'ADP', 'ADP']","[103, 92, 100, 100, 92, 92, 85, 85]"
62,6359,Error parsing field '*' at line *. *,warn,"[Error, parsing, field, at, line]","['NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN']","[92, 100, 92, 85, 92]"
63,1958,"Draining RS node created, adding to list [ | ]",info,"[Draining, RS, node, created, adding, to, list]","['VERB', 'PROPN', 'NOUN', 'VERB', 'VERB', 'PART', 'VERB']","[100, 96, 92, 100, 100, 94, 100]"
64,14279,Zxid outstanding 0x* is less than current 0x*,warn,"[Zxid, outstanding, 0x, is, less, than, current, 0x]","['ADV', 'ADJ', 'NOUN', 'AUX', 'ADJ', 'ADP', 'ADJ', 'PUNCT']","[86, 84, 92, 87, 84, 85, 84, 97]"
65,10576,Failed to locally delete BLOB  |  at ,warn,"[Failed, to, locally, delete, BLOB, at]","['VERB', 'PART', 'ADV', 'ADJ', 'PROPN', 'ADP']","[100, 94, 86, 84, 96, 85]"
66,13896,ZooKeeper connection lost.  Trying to reconnect.,warn,"[ZooKeeper, connection, lost, Trying, to, reconnect]","['NOUN', 'NOUN', 'VERB', 'VERB', 'PART', 'VERB']","[92, 92, 100, 100, 94, 100]"
67,14765,initLimit set to *,info,"[initLimit, set, to]","['VERB', 'VERB', 'PART']","[100, 100, 94]"
68,4794,$$$Empty Message$$$,warn,"[ , Empty, Message]","['SPACE', 'ADJ', 'NOUN']","[103, 84, 92]"
69,4549,"Got NPE opening reader, will retry.",warn,"[Got, NPE, opening, reader, will, retry]","['AUX', 'PROPN', 'NOUN', 'NOUN', 'AUX', 'VERB']","[87, 96, 92, 92, 87, 100]"
70,11077,Could not read attribute *.,warn,"[Could, not, read, attribute]","['AUX', 'PART', 'VERB', 'VERB']","[87, 94, 100, 100]"
71,12258,Could not log YARN environment information.,warn,"[Could, not, log, YARN, environment, information]","['AUX', 'PART', 'VERB', 'PROPN', 'NOUN', 'NOUN']","[87, 94, 100, 96, 92, 92]"
72,14561,Using committedLog for peer sid: *,info,"[Using, committedLog, for, peer, sid]","['VERB', 'PROPN', 'ADP', 'NOUN', 'ADJ']","[100, 96, 85, 92, 84]"
73,4546,Log  |  was moved to ,info,"[Log, was, moved, to]","['PROPN', 'AUX', 'VERB', 'PART']","[96, 87, 100, 94]"
74,9177,Copying artifact: ,info,"[Copying, artifact]","['VERB', 'NOUN']","[100, 92]"
75,10434,Cannot add unknown metric type *. This indicates that the reporter does not support this metric type.,warn,"[Can, not, add, unknown, metric, type, This, indicates, that, the, reporter, does, not, support, this, metric, type]","['AUX', 'PART', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'PRON', 'VERB', 'SCONJ', 'DET', 'NOUN', 'AUX', 'PART', 'VERB', 'DET', 'ADJ', 'NOUN']","[87, 94, 100, 84, 84, 92, 95, 100, 98, 90, 92, 87, 94, 100, 90, 84, 92]"
76,1470,getdata rc =  |  ,warn,"[getdata, rc]","['PROPN', 'PROPN']","[96, 96]"
77,3758,* Interrupted while waiting * to stop,info,"[ , Interrupted, while, waiting, to, stop]","['SPACE', 'PROPN', 'SCONJ', 'VERB', 'PART', 'VERB']","[103, 96, 98, 100, 94, 100]"
78,4407,"Min max keys are : [ | ,  | )",info,"[Min, max, keys, are]","['PROPN', 'PROPN', 'NOUN', 'AUX']","[96, 96, 92, 87]"
79,14968,Failed to authenticate using SASL,warn,"[Failed, to, authenticate, using, SASL]","['VERB', 'PART', 'VERB', 'VERB', 'NOUN']","[100, 94, 100, 100, 92]"
80,4287,$$$Empty Message$$$,warn,"[ , Empty, Message]","['SPACE', 'ADJ', 'NOUN']","[103, 84, 92]"
81,641,"Merge failed, might be caused by other chaos: ",warn,"[Merge, failed, might, be, caused, by, other, chaos]","['PROPN', 'VERB', 'AUX', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN']","[96, 100, 87, 87, 100, 85, 84, 92]"
82,326,$$$Empty Message$$$,warn,"[ , Empty, Message]","['SPACE', 'ADJ', 'NOUN']","[103, 84, 92]"
83,11366,Could not cleanup uploaded files.,warn,"[Could, not, cleanup, uploaded, files]","['AUX', 'PART', 'VERB', 'ADJ', 'NOUN']","[87, 94, 100, 84, 92]"
84,4410,No integrity errors.  We are done with this phase. Glorious.,info,"[No, integrity, errors, We, are, done, with, this, phase, Glorious]","['DET', 'NOUN', 'NOUN', 'PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ']","[90, 92, 92, 95, 87, 100, 85, 90, 92, 84]"
85,16224,Failed to open / find files while reading metadata snapshot,info,"[Failed, to, open, find, files, while, reading, metadata, snapshot]","['VERB', 'PART', 'VERB', 'VERB', 'NOUN', 'SCONJ', 'VERB', 'PROPN', 'PROPN']","[100, 94, 100, 100, 92, 98, 100, 96, 96]"
86,14195,Processing * command from *,info,"[Processing, command, from]","['NOUN', 'NOUN', 'ADP']","[92, 92, 85]"
87,3143,Full verification started for bulk load hfile: *,info,"[Full, verification, started, for, bulk, load, hfile]","['ADJ', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADV']","[84, 92, 100, 85, 84, 92, 86]"
88,8645,setinterdcstreamthroughput: throttle set to *,info,"[setinterdcstreamthroughput, throttle, set, to]","['NOUN', 'NOUN', 'VERB', 'PART']","[92, 92, 100, 94]"
89,4669,Calling ,info,[Calling],['VERB'],[100]
90,13045,Herder started,info,"[Herder, started]","['PROPN', 'VERB']","[96, 100]"
91,10510,$$$Empty Message$$$,warn,"[ , Empty, Message]","['SPACE', 'ADJ', 'NOUN']","[103, 84, 92]"
92,490,Setting sum result to -1 to indicate error,info,"[Setting, sum, result, to, 1, to, indicate, error]","['VERB', 'NOUN', 'VERB', 'ADP', 'NUM', 'PART', 'VERB', 'NOUN']","[100, 92, 100, 85, 93, 94, 100, 92]"
93,8916,Could not start register mbean in JMX,warn,"[Could, not, start, register, mbean, in, JMX]","['AUX', 'PART', 'VERB', 'VERB', 'ADJ', 'ADP', 'PROPN']","[87, 94, 100, 100, 84, 85, 96]"
94,167, completed,info,"[ , completed]","['SPACE', 'VERB']","[103, 100]"
95,1078,"The BitSetNode for procId=* does not exist, maybe a double deletion?",warn,"[The, BitSetNode, for, procId, does, not, exist, maybe, a, double, deletion]","['DET', 'PROPN', 'ADP', 'PROPN', 'AUX', 'PART', 'VERB', 'ADV', 'DET', 'ADJ', 'NOUN']","[90, 96, 85, 96, 87, 94, 100, 86, 90, 84, 92]"
96,1155,Atomically moving */*'s WALs to *,info,"[Atomically, moving, s, WALs, to]","['ADV', 'VERB', 'PART', 'NOUN', 'PART']","[86, 100, 94, 92, 94]"
97,1381,JMXListener has been started at Registry port ,info,"[JMXListener, has, been, started, at, Registry, port]","['PROPN', 'AUX', 'AUX', 'VERB', 'ADP', 'PROPN', 'NOUN']","[96, 87, 87, 100, 85, 96, 92]"
98,8684,Announcing that I have left the ring for *ms,info,"[Announcing, that, I, have, left, the, ring, for, ms]","['VERB', 'SCONJ', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN']","[100, 98, 95, 87, 100, 90, 92, 85, 96]"
99,10196,The registered Kryo serializer class for class  |  has changed and is no longer valid; using a dummy Kryo serializer that should be replaced |  as soon as a new Kryo serializer for the class is present.,warn,"[The, registered, Kryo, serializer, class, for, class, has, changed, and, is, no, longer, valid, using, a, dummy, Kryo, serializer, that, should, be, replaced, as, soon, as, a, new, Kryo, serializer, for, the, class, is, present]","['DET', 'ADJ', 'PROPN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'AUX', 'VERB', 'CCONJ', 'AUX', 'PRON', 'ADV', 'ADJ', 'VERB', 'DET', 'ADJ', 'PROPN', 'NOUN', 'PRON', 'AUX', 'AUX', 'VERB', 'ADV', 'ADV', 'SCONJ', 'DET', 'ADJ', 'PROPN', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'ADJ']","[90, 84, 96, 92, 92, 85, 92, 87, 100, 89, 87, 95, 86, 84, 100, 90, 84, 96, 92, 95, 87, 87, 100, 86, 86, 98, 90, 84, 96, 92, 85, 90, 92, 87, 84]"
100,5729,Error loading result renderer: *,warn,"[Error, loading, result, renderer]","['NOUN', 'NOUN', 'NOUN', 'NOUN']","[92, 92, 92, 92]"
101,3831,"Skipping failover for peer * of node *, peer is null",warn,"[Skipping, failover, for, peer, of, node, peer, is, null]","['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'AUX', 'ADJ']","[100, 92, 85, 92, 85, 84, 92, 87, 84]"
102,7510,IFormValidator in form ` | ` depends on a component that has been removed from the page or is no longer visible.  | Offending component id ` | `.,warn,"[IFormValidator, in, form, depends, on, a, component, that, has, been, removed, from, the, page, or, is, no, longer, visible, Offending, component, i, d]","['NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PRON', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'AUX', 'PRON', 'ADV', 'ADJ', 'PROPN', 'NOUN', 'PROPN', 'PROPN']","[92, 85, 92, 100, 85, 90, 92, 95, 87, 87, 100, 85, 90, 92, 89, 87, 95, 86, 84, 96, 92, 96, 96]"
103,3496,SplitLogWorker  |  exiting,info,"[SplitLogWorker, exiting]","['PROPN', 'NOUN']","[96, 92]"
104,17555,API Keys are not available under the current [*] license,info,"[API, Keys, are, not, available, under, the, current, license]","['NOUN', 'PROPN', 'AUX', 'PART', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN']","[92, 96, 87, 94, 84, 85, 90, 84, 92]"
105,7592,SecurityManager doesn't allow to read the configuration type from the system properties. The configuration type will be read from the web.xml.,warn,"[SecurityManager, doesn, t, allow, to, read, the, configuration, type, from, the, system, properties, The, configuration, type, will, be, read, from, the, web, xml]","['NOUN', 'VERB', 'PROPN', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'DET', 'NOUN', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN']","[92, 100, 96, 100, 94, 100, 90, 92, 92, 85, 90, 92, 92, 90, 92, 92, 87, 87, 100, 85, 90, 92, 92]"
106,10724,Failed to release user code class loader for ,warn,"[Failed, to, release, user, code, class, loader, for]","['VERB', 'PART', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADP']","[100, 94, 100, 92, 92, 92, 92, 85]"
107,1695,There are  |  blocks which can't be rebuilt because  | there is no matching bucket size for these blocks,warn,"[There, are, blocks, which, can, t, be, rebuilt, because, there, is, no, matching, bucket, size, for, these, blocks]","['PRON', 'VERB', 'NOUN', 'PRON', 'AUX', 'NOUN', 'AUX', 'VERB', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN']","[95, 100, 92, 95, 87, 92, 87, 100, 98, 95, 100, 90, 92, 92, 92, 85, 90, 92]"
108,2161,"Skipping, no server for ",info,"[Skipping, no, server, for]","['VERB', 'DET', 'NOUN', 'ADP']","[100, 90, 92, 85]"
109,1902, split ,info,"[ , split]","['SPACE', 'VERB']","[103, 100]"
110,7296,load local truststore -Failed to load truststore from: ,info,"[load, local, truststore, Failed, to, load, truststore, from]","['NOUN', 'ADJ', 'NOUN', 'VERB', 'PART', 'VERB', 'ADV', 'ADP']","[92, 84, 92, 100, 94, 100, 86, 85]"
111,1833,Failed parse,warn,"[Failed, parse]","['VERB', 'NOUN']","[100, 92]"
112,2029,Returning success without actually splitting and  | deleting all the log files in path  | : ,warn,"[Returning, success, without, actually, splitting, and, deleting, all, the, log, files, in, path]","['VERB', 'NOUN', 'ADP', 'ADV', 'VERB', 'CCONJ', 'VERB', 'DET', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN']","[100, 92, 85, 86, 100, 89, 100, 90, 90, 92, 92, 85, 92]"
113,7413,$$$Empty Message$$$,warn,"[ , Empty, Message]","['SPACE', 'ADJ', 'NOUN']","[103, 84, 92]"
114,11457,Exception while deleting local state directory of checkpoint * in subtask (* - * - *).,warn,"[Exception, while, deleting, local, state, directory, of, checkpoint, in, subtask]","['NOUN', 'SCONJ', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN']","[92, 98, 100, 84, 92, 92, 85, 92, 85, 92]"
115,3269,"vmName= | , vmVendor= | , vmVersion=",info,"[vmName, vmVendor, vmVersion]","['NOUN', 'PROPN', 'PROPN']","[92, 96, 96]"
116,10310,exception when close table,warn,"[exception, when, close, table]","['NOUN', 'SCONJ', 'ADJ', 'NOUN']","[92, 98, 84, 92]"
117,3086,failed to switch to stream read,warn,"[failed, to, switch, to, stream, read]","['VERB', 'PART', 'VERB', 'ADP', 'NOUN', 'NOUN']","[100, 94, 100, 85, 92, 92]"
118,965, test run options=,info,"[ , test, run, options]","['SPACE', 'NOUN', 'NOUN', 'NOUN']","[103, 92, 92, 92]"
119,12769,[Principal=%s]: LoginException during login retry; will sleep %d seconds before trying again.,warn,"[ , Principal, s, LoginException, during, login, retry, will, sleep, d, seconds, before, trying, again]","['SPACE', 'PROPN', 'PART', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'AUX', 'VERB', 'ADV', 'NOUN', 'ADP', 'VERB', 'ADV']","[103, 96, 94, 96, 85, 92, 92, 87, 100, 86, 92, 85, 100, 86]"
120,1585,"create fan-out dfs output * failed, retry = *",warn,"[create, fan, out, dfs, output, failed, retry]","['VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'NOUN']","[100, 92, 85, 90, 92, 100, 92]"
121,10316,start open ...,info,"[start, open]","['VERB', 'ADJ']","[100, 84]"
122,3322,Failed to update meta location,info,"[Failed, to, update, meta, location]","['VERB', 'PART', 'VERB', 'ADJ', 'NOUN']","[100, 94, 100, 84, 92]"
123,11619,Task * is already in state *,info,"[Task, is, already, in, state]","['NOUN', 'AUX', 'ADV', 'ADP', 'NOUN']","[92, 87, 86, 85, 92]"
