,static_text,log_level
12013,"Exception in regexpReplace('%s', '%s', '%s')",error
7783,$$$Empty Message$$$,error
14959,Ignoring error closing connection to leader,warn
14007,TGT valid starting at:        *,info
14321,"Unable to start AdminServer, exiting abnormally",error
14711,Sending exception: ,warn
6489,"TrustStore created OK, Type: JKS",info
5222,Exception writing to internal frame buffer,error
9013,Exception writing to internal frame buffer,error
5034,TApplicationException inside handler,error
15040,Assigned port * from range *.,info
7166,Error browsing messages on the queue *,error
10433,"Configured GraphiteReporter with {host:*, port:*, protocol:*}",info
3678,$$$Empty Message$$$,info
8793,[Stream #*] Streaming error occurred on session with peer **,error
8188,Removing host: *,info
6568,$$$Empty Message$$$,info
1144,Log directory not found: ,warn
4857,starting HBase * server on *,info
1181,$$$Empty Message$$$,error
9532,      adding maven artifact: ,info
11987,found resource  |  at ,info
10529,Unable to start *. All ports in provided range (*) are occupied.,info
15549,cluster UUID [*],info
5739,Exception while rendering axis chart.,warn
7276,ClassNotFoundException:: *,warn
1014,Starting * core workers (bigger of cpus/4 or 16) with max (burst) worker count=*,info
17555,API Keys are not available under the current [*] license,info
1456,Interrupted while yielding for other region servers,warn
4891,Exception inside handler,error
10071,"Waiting for the queue length to drop below the limit takes unusually long, still not done after * attempts.",warn
10230,Flink's Hadoop file system factory could not be loaded,warn
2428,unknown request type in the queue: ,warn
957,MultiGet enabled. Sending GETs in batches of  | .,info
9705,Duplicate @Argument annotations on class  |  for index:  |  see: ,warn
11788,Using default options factory: *.,info
498,Exception while trying to refresh store files: ,error
3072,New memstoreSize from HeapMemoryTuner  |  is below min level  | . Resetting memstoreSize to min size,info
11805,$$$Empty Message$$$,error
14251,Connection request from old client *; will be dropped if server is in r-o mode,warn
11610,Error during metrics de-registration of task * (*).,error
13607,Thread got interrupted. This indicates a bug. Please report at https://issues.apache.org/jira/projects/KAFKA or dev-mailing list (https://kafka.apache.org/contact).,error
11852,Restoring state for the *.,info
6999,Trying httpclient parameters from ,info
7411,Error while building toString(),warn
584,Aborting ZooKeeper node on: ,info
16713,scheduler engine was not terminated after waiting 5s,warn
2489,Failed to switch rpc throttle to * on server *,warn
11746,Critical failure while fetching/processing job archives.,error
9495,$$$Empty Message$$$,info
4188,Was Not able to move region....Exiting Now,error
14588,Exception while accepting follower,warn
10229,No Flink runtime dependency present. The extended set of supported File Systems via Hadoop is not available.,info
16252,Exception during periodic field data cache cleanup:,warn
2120,Finish to update the new assignment plan for the hbase:meta table and the region servers,info
2167,$$$Empty Message$$$,info
17540,$$$Empty Message$$$,error
10269, not found,info
7303,Failed to set result response data,warn
7824,Skipped batch replay of * due to *,warn
7521,$$$Empty Message$$$,warn
17407,"invalid entry for role [*] in users_roles file [*], line [*]. no users found. skipping...",error
12930,* Task failed initialization and will not be started.,error
9092,$$$Empty Message$$$,info
4890,TApplicationException inside handler,error
14951,"Got unexpected packet from leader: *, exiting ... ",error
10558,Failed to offload value * for job * to BLOB store.,warn
4030,$$$Empty Message$$$,error
10105,Got LimitExceededException when listing shards from stream  | . Backing off for  |  millis.,warn
8193,Assassinating * via gossip,warn
13953,Event thread exiting due to interruption,error
15061,accepting socket local:* to:*,info
9924,| YOUR TESTS WILL FAIL ,error
9009,Exception writing to internal frame buffer,error
6697,HttpMirror up and running!,info
2043,Dead splitlog worker *,info
3002, :  | Unexpected: flush commit marker received from store  |  but no associated flush context. Ignoring,warn
2114,Start to update the region servers with the new assignment plan,info
164,Failed to get the procedure with procId= |  throws exception ,warn
193,"id= | , task rejected by pool. Unexpected. |  Server=",warn
1672,Can't restore from file in rebuild because can't deserialise,error
17005,[*] Interrupted waiting for results processor to complete,error
16554,failed to close remote cluster connections for cluster: ,warn
7353,Could not set timeout or nodelay for *,warn
17635,$$$Empty Message$$$,info
6636,Could not read file: * *,warn
7240,$$$Empty Message$$$,error
10380,Worker * finished successfully with message: *,info
5304,Exception writing to internal frame buffer,error
6875,"Error parsing BASIC Auth authorization header:'*', decoded value:'*'",error
9146,$$$Empty Message$$$,error
6113,Error instantiating class:'*' defined in property:'*'testplan_validation.tree_cloner_class,error
4641,Starting namenodes on mini cluster is not supported,warn
3346,Exception attempting to fetch wal coprocessor information for region  | ; skipping.,warn
14591,Enough followers present. Perhaps the initTicks need to be increased.,warn
1280, move servers  |  to rsgroup ,info
17283,cleaning up [*] old indices,info
15993,failed to fetch state from node,warn
4626,Hook closing fs=,info
11639,Cannot determine the size of the physical memory for Linux host (using '/proc/meminfo'). Unexpected format.,error
7208,creating receiver without authorisation credentials. UseResMsgId=*,info
13588,Failed to close restore consumer due to the following error:,error
10509,$$$Empty Message$$$,error
8518,[repair #*] * sync failed,warn
5822,java.awt.headless=*,info
12077,Closing StreamSortOperator,info
10939,ZooKeeper connection RECONNECTED. Changes to the submitted job graphs are monitored again.,info
2085,* set table=* state from * to *,info
8636,set rpc timeout to * ms,info
4657,NOTHING FOLLOWS,info
7874,prepared statement recreation error: *,warn
6660,"An error occurred while evaluating the expression ""*"" ",error
7007,Problem loading properties ,error
8689,Unable to stream hints since no live endpoints seen,warn
8420,Seed provider couldn't lookup host *,warn
17395,unable to clear realm cache for user [*],error
9799,$$$Empty Message$$$,error
4220,Created version file at  |  with version=,info
12491,"Fetch offset * is out of range for partition *, resetting offset",info
5633,"No variable '*' found to process by CSS Selector Extractor '*', skipping processing",warn
988,Ignore abort request on * because it has already been finished,warn
197,"# | , not sent:  |  operations, ",warn
16700,Requested shutdown of indexer for job [ | ],info
11637,Cannot determine size of physical memory for unknown operating system,error
11819,"Since tolerableCheckpointFailureNumber has been configured as *, deprecated #setFailOnCheckpointingErrors(boolean) method would not take any effect and please use #setTolerableCheckpointFailureNumber(int) method to determine your expected behaviour when checkpoint errors on task side.",warn
7088,JavaSamplerClient doesn't implement  | getDefaultParameters.  Default parameters won't  | be shown.  Please update your client class: ,warn
16914,[*] Killing job,info
13816,*: forcibly destroying process,info
9738,Error starting ssh agent for local console,warn
2016,Finished to scan the hbase:meta for the current region assignmentsnapshot,info
3519,Default compaction algorithm has selected  |  files from  |  candidates,info
13234,Successfully processed removal of connector '*',info
5292,Exception writing to internal frame buffer,error
6209,Exporting data using exporter:'*' of className:'*',info
4136,Sniff zookeeper failed!,error
400,FileSystem doesn't support getDefaultBlockSize,info
5854,Error loading user property file: *,warn
10964,Could not start the JobManager because the leader election service did not start.,error
1374,"rmiSSL: | ,authenticate: | ,passwordFile: | ,accessFile:",info
16770,Encountered unexpected run state [ | ],warn
9676,Failed to release action:  | . ,warn
11721,Using directory * for web frontend JAR file uploads.,info
11365,Unhandled exception.,error
1401,Failed to create directory *,warn
13564,Creating shared producer client,info
13815,*: destroying process,info
16715,listener failed while handling triggered event [*],warn
10608,Could not delete the storage file *.,warn
14862,shutdown Observer,info
2648,Failed to close the writer of the file ,error
15095,Synonym rule for [ | ] was ignored,info
9875,No state to restore for the * (taskIdx=*).,info
16962,[ | ] failed to auto-close job,error
13621,Opening store * in regular mode,info
9171,retrying (attempt  | ) ...,info
731,Chaos monkeys are running.,info
9048,Exception writing to internal frame buffer,error
16135,reloading search analyzers,info
10845,Cannot shut down the network connection manager.,warn
13890,ZooKeeper connection lost.  Trying to reconnect.,warn
12,Overwritten  |  regions to Meta,info
11121,Error closing cache for input ,error
9650,Current user does not have required roles (*) for service * method * and/or arguments,info
13906,invalid value * for metric * with key *,error
8293,Failed to dispatch hints file *: file is corrupted (*),error
3827,Interrupted while waiting before transferring a queue.,warn
10363,"TaskManagers will be started with container size * MB, JVM heap size * MB, JVM direct memory limit * MB, * cpus, * gpus, disk space * MB",info
7556,Couldn't load DiskDataStore index from file  | .,error
590,Aborting name node on: ,info
13458,Downgrading metadata version from * to 2 for upgrade from *.x.4,info
4304,"Recovered lease, ",info
7662,$$$Empty Message$$$,warn
16906,$$$Empty Message$$$,error
3358,$$$Empty Message$$$,error
5372,Exception writing to internal frame buffer,error
1984,Server  |  added to draining server list.,info
11896,Could not close raw keyed operator state stream for *. This might have prevented deleting some state data.,warn
7524,Did not find corresponding java class: ,warn
13030,* Connector raised an error,error
14725,QuorumPeer responder thread exited,warn
14773,syncLimit set to *,info
4945,Exception inside handler,error
6571,$$$Empty Message$$$,warn
2180,Split of  |  skipped because offline/split.,info
821,Opening reader for ,info
11366,Could not cleanup uploaded files.,warn
12119,Exception when MAPPER.writeValueAsString :,error
6238,Could not delete intermediate file *,warn
9884,Could not create file for checking if truncate works.,error
9834,Could not load CLI class *.org.apache.flink.yarn.cli.FlinkYarnSessionCli,warn
6371,Can't register a converter: *,warn
888,Input split length:  |  bytes.,info
14854,Disconnected from leader (with address: *). Was connected for *ms. Sync state: *,info
3914,Failed updating permissions mirror for ' | null | ',error
4233,Skipping file  |  due to IOException,warn
16851,adding index lifecycle policy [*],info
10402, Mesos Info:,info
88,"Can not resolve  | , please check your network",warn
5477, - erase ACLs for ,info
6478,$$$Empty Message$$$,error
3798,Couldn't get file length information about log ,warn
7275,caught exception,info
398,SecurityException calling method. class= |  method= |  types=,error
427,Couldn't use reflection with builder API,warn
4670,Calling ,info
13592,Error sending record to topic * due to *; No more records will be sent and no more offsets will be recorded for this task. Enable TRACE logging to view failed record key and value.,warn
1865,Failed construction of Master,error
15064,connected: local:* from:* to:*,info
11771,Using session environment file: *,info
10620,Triggering checkpoint * @ * for job *.,info
11929,Restoring state for the GenericWriteAheadSink (taskIdx=*).,info
2623,"MobFileCache, Exception happen during close ",error
3194,Large batch operation detected (greater than  | ) (HBASE-18023). |  Requested Number of Rows:  |  Client:  | / |  first region in multi=,warn
14936,Unexpected error in upgrade,error
6220,Checking output folder,info
5758,"Error setting class: '*' in BackendListener: *, check for a missing jar in your jmeter 'search_paths' and 'plugin_dependency_paths' properties",error
4922,Exception writing to internal frame buffer,error
2482,Took xlock for *,info
5557,"Exception parsing document, message:*",warn
991,"Waiting termination of thread *, *; sending interrupt",warn
1126,Unable to roll the log,error
6602,XPathFileContainer has no nodes: * *,warn
7741,************************** WARNING **************************,warn
16949,[*] *,warn
16719,Unable to apply field level security,error
3969,$$$Empty Message$$$,error
9733,Exception caught while starting SSH server,warn
2564,$$$Empty Message$$$,error
1649,"Evicting cached block with key  |  because of a data block encoding mismatch | ; expected:  | , actual:  | , path=",info
2765,"Can't reach controller, not propagating error",error
488,Returning result ,info
11412,Error while executing remote procedure call *.,error
13580,"Standby task * is already closed, probably because it got unexpectedly migrated to another thread already. Notifying the thread to trigger a new rebalance immediately.",info
60,Retrieve cluster id failed,warn
2139,"Log folder  |  doesn't belong  | to a known region server, splitting",info
915,snapshot does not keeps WALs: ,warn
5311,TTransportException writing to internal frame buffer,error
11372,Error during stats completion.,error
5815,Version *,info
1351,"HealthChecker initialized with script at  | , timeout=",info
5520,Failed to get backup master:  | 's info port.,warn
562,Problem while trying to process JMX query:  |  with MBean ,error
11649,Using '*' as Zookeeper namespace.,info
5998,Exception occurred while instantiating a function: *,error
322,$$$Empty Message$$$,warn
1696,There are  |  blocks which can't be rebuilt -  | did you shrink the cache?,warn
10193,Cannot find registered class  |  for Kryo serialization in classpath; |  using a dummy class as a placeholder.,warn
5440,Unable to get data of znode ,warn
6907,Generating standard keypair in *,info
1586,"complete file  |  not finished, retry = ",warn
9374,* - * - *,warn
10862,Successful initialization (took * ms).,info
8779,"[Stream #*, ID#*] Beginning stream session with *",info
16626,[*] failure while removing retention lease [*] on leader primary shards,warn
9278,Old style feature file without namespace found (URI: *). This format is deprecated and support for it will soon be removed,warn
17526,$$$Empty Message$$$,error
11829,* committed recovered transaction *,info
1987,Exception when retrieving regioninfo from: ,warn
13268,Finished reading KafkaBasedLog for topic ,info
6102,Error converting subtree. *,warn
13575,"Stream task * is already closed, probably because it got unexpectedly migrated to another thread already. Notifying the thread to trigger a new rebalance immediately.",info
3392,* is not of type RegionServerCoprocessor. Check the configuration of *hbase.coprocessor.regionserver.classes,error
5932,IP address is a site-local address; this may cause problems with remote access. 	Can be overridden by defining the system property 'java.rmi.server.hostname' - see jmeter-server script file,info
14849,Failed to register with JMX,warn
2957,$$$Empty Message$$$,warn
7284,Cannot disconnect null context,info
6395,Started thread group number *,info
8195,"Endpoint * disappeared while trying to assassinate, continuing anyway",warn
10473,Error obtaining statistics from input format: ,warn
15824,timed out after [*] resolving host [*],warn
2544,$$$Empty Message$$$,error
3000, :  | At least one of the store files in flush:  |  doesn't exist any more. Skip loading the file(s),warn
14816,Something went wrong while processing config received from *,error
6425,Shutdown Test detected by thread: *,info
3448,"Allocating * MemStoreChunkPool with chunk size *, max count *, initial count *",info
341,"Trying to put a buffer, not created by this pool! Will be just ignored",warn
9158,"Features verified:  | , failures:  | , ignored:  | , skipped: ",info
528,Jetty request log can only be enabled using Log4j,warn
4481,By the time we tried to process this region dir it was already gone: ,warn
10003,Error while closing consumer connection,warn
14982,"SASL authorization completed, * is not authorized to connect",error
7701,Attempted to use HTTP2 Push but it is not supported for the current request: *!,warn
10435,Cannot remove unknown metric type *. This indicates that the reporter does not support this metric type.,warn
3074,New blockCacheSize from HeapMemoryTuner  |  is below min level  | . Resetting blockCacheSize to min size,info
17168,[*] Exception closing the running * process,warn
2959,"Failed getting lock, row=",warn
7493,Error while reading the markup ,error
1287, move servers  |  and tables  |  to rsgroup,info
3469, file not found for region:  |  on table ,warn
2997," :  | Received a flush commit marker with smaller seqId:  |  than what we have prepared with seqId:  | . Picking up new file, but not dropping |   prepared memstore snapshot",warn
11571,Starting the kvState service and its components.,info
14520,Could not delete empty snapshot file: *,warn
818,$$$Empty Message$$$,error
17617,"not starting watcher, upgrade API run required: .watches[*], .triggered_watches[*]",warn
3704,Unable to create WALEntryFilter ,error
7540,An error occurred while checking whether a page is stateless. Assuming it is stateful.,warn
3344,Exception attempting to fetch wal coprocessor information for the common wal; skipping.,warn
9111,Error getting connection ,error
11964,Could not properly cancel an operator snapshot result.,warn
10545,Failed to stringify accumulator [ | ],error
4870,Problem encountered in shutting down HTTP server,error
4402,Attempting to handle orphan hdfs dir: ,info
2893,Interrupted while waiting for Quota Manager to be initialized.,warn
14997,$$$Empty Message$$$,warn
13685,"*: Can't stop worker *, because it is already stopping.",info
5303,Exception inside handler,error
1279," initiates rsgroup info retrieval, table=",info
16815,policy [*] for index [*] failed on cluster state step [*]. Moving to ERROR step,error
694,Performing action: Restart region server holding META,info
5676,Exported transactions: jmeter.reportgenerator.exporter.html.series_filter=^(*)(-success|-failure)?$,info
12778,[Principal=*]: Expiring credential already expired at *: will try to refresh again at *,warn
14540,Follower sid: * not in the current config *,info
4225,Cluster ID file does not exist at ,warn
7708,unable to find mbean server of type '*',error
13055,Herder stopped,info
13211,Failed to parse task status with key *,warn
5599,"Failed parsing endIndex: *, will default to: *, error message: *",warn
15932,"heap size [*], compressed ordinary object pointers [*]",info
2105,Get some exceptions for placing primary region server | for table  |  because ,error
3797,Forcing removal of 0 length log in queue: ,warn
8817,[Stream #*] All sessions completed,info
14467,Exception writing command response to JSON:,warn
4229,Waiting for dfs to exit safe mode...,info
10895,*: Error during release of channel resources: *.,warn
9619,Deactivating the *Greeter Service Factory Manager,info
3208,CloseRegionRequest for * does not have a start code,warn
708,Sleeping for:,info
11799,Could not delete instance base path for RocksDB: ,warn
5270,Exception writing to internal frame buffer,error
3669,Timed out bringing down disruptor after  | ms; forcing halt  | (It is a problem if this is NOT an ABORT! -- DATALOSS!!!!),warn
1519,rc= |  for  |  remaining retries=,warn
910,Number of versions set to ,info
6085,OpenLinkAction: Current platform does not support the Desktop.Action.BROWSE action on *,error
2382,"Interrupted while cleaning old WALs, will try to clean it next round. Exiting.",warn
6479,$$$Empty Message$$$,error
8235,"No local state, state is in silent shutdown, or node hasn't joined, not announcing shutdown",warn
14958,Missing session 0x* for validation,warn
6455,no icon for * *,info
13431,Failed to unlock the global state directory,error
2589,Couldn't delete snapshot working directory:,error
5954,$$$Empty Message$$$,warn
1284," balance rsgroup, group=",info
9270,Error opening Spring xml url,error
17584,skipping ip filter rules for profile [*] since the profile is not bound to any addresses,warn
2140,Log folder  |  belongs to an existing region server,info
14584,Couldn't bind to *,error
1160,"Claim queue queueId=* from * to * failed with *, someone else took the log?",info
13857,Error occurred while connecting to ZooKeeper server,error
1790,: starting,info
13748,Starting coordinator process.,info
7065,No log file specified,error
836,Setting Scan Filter for Export.,info
9935,| - Killed,info
8995,Exception writing to internal frame buffer,error
3186,Bad bloom filter meta  |  -- proceeding without,error
13341,Streams client stopped completely,info
6337,Test Ended on *,info
8067,Compaction space check is disabled,info
6307,sampleOccurred; failed to queue the sample,error
13632,Closing * open iterators for store *,warn
8921,"posix_fadvise(*, *) failed, errno (*).",warn
14471,No password found for user: *,warn
14739,Failed to register with JMX,warn
1414,Stopping ,info
1453,Failed to get data for znode ,warn
6280,sampleResume without samplePause,error
879,Writer= | ,info
5113,Exception inside handler,error
5169,TTransportException inside handler,error
10762,$$$Empty Message$$$,error
1695,There are  |  blocks which can't be rebuilt because  | there is no matching bucket size for these blocks,warn
3812,* threw unknown exception:,warn
9071,Exception writing to internal frame buffer,error
1338,GroupBasedLoadBalancer is now online,info
3003,"Drop memstore for Store  |  in region  |  , dropped memstoresize: [ |  }",info
11074,"Could not create object name *.java.nio:type=BufferPool,name=direct",warn
8888,"Failed to insert pending future, tracing synchronization may not work",warn
9355,Keystore's key * locked,info
14780,Failed to register with JMX,warn
8165,Selected tokens *,warn
5276,Exception writing to internal frame buffer,error
12913,Kafka Connect starting,info
2516,Retriable error trying to delete table= |  state=,warn
8994,"Buffer pool failed to allocate chunk of *, current size * (*). Attempting to continue; buffers will be allocated in on-heap memory which can degrade performance. Make sure direct memory size (-XX:MaxDirectMemorySize) is large enough to accommodate off-heap memtables and caches.1048576",error
13310,Forwarding to framework request to commit additional * for *,error
10802,User file cache uses directory ,info
8653,"Startup complete, but write survey mode is active, not becoming an active ring member. Use JMX (StorageService->joinRing()) to finalize ring joining.",info
11685,$$$Empty Message$$$,info
3518,"Running an off-peak compaction, selection ratio = ",info
8738,"The JVM is not configured to stop on OutOfMemoryError which can cause data corruption. Use one of the following JVM options to configure the behavior on OutOfMemoryError:  -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, or -XX:OnOutOfMemoryError=""<cmd args>;<cmd args>""",warn
14608,Set * to *mszookeeper.leader.maxTimeToWaitForEpoch,info
386,$$$Empty Message$$$,error
7668,[...] | [...],warn
5239,TTransportException writing to internal frame buffer,error
6888,Error placing sampler,error
13773,*: Consumer received the full count of * unique messages.  Waiting for all * sends to be acked...,info
2947,"Flushing  | / |  column families, |  dataSize= |  heapSize= |  | ",info
14697,Got a short response: * *,warn
5842,Could not start Mirror server,warn
15629,"Error deleting template [*], request was not acknowledged",warn
4694,There is bug in codec  | \n on element  | \n codecKv.getKeyLength()  | \n codecKv.getValueLength()  | \n codecKv.getLength()  | \n currentKv.getKeyLength()  | \n currentKv.getValueLength()  | \n codecKv.getLength()  | \n currentKV rowLength  |  familyName  |  qualifier  | \n prefix  | \n codecKv   ' | ' diff ' | ' | \n currentKv ' | ' diff ' | ',error
8788,[Stream #*] Session does not have any tasks.,info
34,"Scanner= |  expired, current region location is ",info
6564,$$$Empty Message$$$,info
16196,check index [failure] *,warn
2395,Failed acquire LOCK  | ; YIELDING,warn
2993, :  | Received a flush prepare marker with a smaller seqId:  |  before clearing the previous one with seqId:  | . Ignoring,warn
14561,Using committedLog for peer sid: *,info
9154,Verification of feature  |  succeeded,info
8866,Could not close socket.,warn
9862,Error while closing session.,error
17607,$$$Empty Message$$$,info
4162,Wrote  |  times in region ,info
1564,failed to get block storage policy of [ | ],warn
17608,^^^ Assertion failure ^^^,info
16885,Cannot get native code info for Machine Learning,error
9435,"Cannot update users file,",error
8613,Not joining ring as requested. Use JMX (StorageService->joinRing()) to initiate ring joining,info
4491,Problem scanning file system,warn
14301,Ignoring unexpected runtime exception,warn
11726,"Jar upload dir * does not exist, or had been deleted externally. Previously uploaded jars are no longer available.",warn
12046,Error during partition cleanup.,error
10528,Started * @ *.,info
2448,$$$Empty Message$$$,error
925,Error copying  |  to ,error
11493,Failed to register at resource manager *.,info
3583,"Received CLOSE for the region: *, which we are already trying to CLOSE, but not completed yet",info
9603,Error executing script,warn
461,Ignoring duplicate class ,warn
15055,exception during write,warn
13033,* Error while shutting down connector,error
8526,Incremental repair can't be requested with subrange repair because each subrange repair would generate an anti-compacted table. The repair will occur but without anti-compaction.,warn
5080,Exception writing to internal frame buffer,error
5231,Exception inside handler,error
7372,Conversation * has expired for *,info
14354,$$$Empty Message$$$,warn
1974,Waiting on regionserver(s) ,info
2121,For Table:  |  ; #Total Regions:  |  ; The average dispersion score is ,info
196,$$$Empty Message$$$,info
5426,Unable to set watcher on znode ,warn
15373,cannot getrlimit RLIMIT_NPROC because JNA is not available,warn
9931,/===========================================,info
14375,exception during session close,warn
5151,TTransportException inside handler,error
10818,Error granting leadership to contender,warn
9236,[Watch] Updating watched bundle: * (*),info
10615,Checkpoint triggering task * of job * is not being executed at the moment. Aborting checkpoint.,info
8733,"cassandra.jmx.local.port missing from cassandra-env.sh, unable to start local JMX service.",error
4807,$$$Empty Message$$$,warn
3195,hostname is configured to be ,info
2581,"Not checking unreferenced files since snapshot is running, it will skip to clean the HFiles this time",warn
11850,Subtask * checkpointing for checkpoint with id=* (max part counter=*).,info
16025,state recovery failed: *,info
1134,Encountered exception writing header,warn
7843,Unexpected exception killed worker: *,error
9275,Matched URI can't use version ranges: ,warn
13240,Invalid data for config of task * 'properties' field should be a Map but is *,error
3013, :  | Skipping replaying bulkload event : |  because its sequence id is smaller than this region's lastReplayedOpenRegionSeqId |  =,warn
15241,Package type: ,info
10724,Failed to release user code class loader for ,warn
11557,Could not properly fail task.,error
5890,*: error while processing [*],error
4561,Failed isFile check on *,warn
4401,$$$Empty Message$$$,error
11642,Cannot determine physical memory of machine for MacOS host,error
11567,$$$Empty Message$$$,error
12859,$$$Empty Message$$$,info
4932,TApplicationException inside handler,error
4952,Exception writing to internal frame buffer,error
3388,Exception while trying to close and archive the compacted store  | files of the store   |  in the |  region ,error
1378,"Master rmiRegistryPort: | ,Master rmiConnectorPort:",info
17300,Rollup job [ | ] created.,info
16117,Couldn't mark store corrupted,warn
9946,Created HiveCatalog '*',info
13183,Failed to start RestClient: ,error
3155,$$$Empty Message$$$,info
5464,$$$Empty Message$$$,error
5196,Exception writing to internal frame buffer,error
5032,Exception writing to internal frame buffer,error
11609,$$$Empty Message$$$,error
5195,Exception inside handler,error
4405,"Orphan file  |  is possibly corrupted HFile, skipping",warn
9025,Exception writing to internal frame buffer,error
1690,"IO errors duration time has exceeded  | ms, disabling cache, please check your IOEngine",error
200,"Server sent us neither results nor exceptions for  | , numAttempt:",error
16645,Updating existing license to the new version.  Old license:  *   New license: *,info
9820,Building program from JAR file,info
1999,"Starting up instance of localHBaseCluster; master= | , regionserversCount=",info
4486,Checking all hfiles for corruption,info
2131,Purged table state entry from zookeepr for table not in hbase:meta: ,info
17112,Could not set job state to [ | ] for job [ | ],error
9816,Could not properly terminate the Flink cluster.,info
7044,"Error Response Code: *, Server sent no Errorpage",info
1125,"Unable to roll the log, attempt=",warn
2452,Set * to state=*,info
14486,UTF-8,error
14621,"Either no config or no quorum defined in config, running in standalone mode",warn
1567,Can't get the file system from the conf.,warn
5962,"Could not set properties: *, error:*",warn
8544,Filtering out * as it isn't supported by the socket,warn
11254,Cannot close the large records reader.,error
7615,Found tag < | > was not expected.  | We were expecting: ,error
9571,   Loading boot repositories,info
10014,Error communicating with broker * to find partitions for *. * Message: *,warn
5297,Exception inside handler,error
13460,$$$Empty Message$$$,error
9487,Can't get features for KAR *,warn
4305,$$$Empty Message$$$,warn
5631,*: Could not parse number: '*'.,warn
4473,[ | ] HDFS region dir  |  already sidelined.,warn
12548,Instantiated an idempotent producer.,info
4341,Found potential daughter b: ,info
8173,ClusterName mismatch from * *!=*,warn
2654,Task may be stuck: ,warn
1887,Not running balancer because processing dead regionserver(s): ,info
9818,Could not properly close the cluster descriptor.,info
1115,Unable to serialize the procedure: ,error
1645,Stream moved/closed or prefetch cancelled?,warn
13852,"Error loading about.html, file may be corrupt",error
15343,This can result in part of the JVM being swapped out.,warn
8986,You are using Cassandra with an unsupported deployment. The intended logging implementation library logback is not used by slf4j. Detected slf4j logger factory: *. You will not be able to dynamically manage log levels via JMX and may have performance or other issues.,warn
1666,Failed to close FileChannel,warn
14113,* thread finished,info
754,Could not find jar for class  |  in order to ship it to the cluster.,warn
14183,Unable to closeSession() for session: 0x*,warn
1472,failed to transistion task  |  to end state  |  because of version mismatch ,warn
5327,Exception inside handler,error
5783,Exception invalidating socketOutputStream connected to graphite server *:*,warn
13666,*: Worker * start() exception,info
9868,Created Elasticsearch TransportClient with connected nodes *,info
10532,Problem while shutting down *: *,warn
17638,Using default proxy for http input and slack/pagerduty/webhook actions [*:*],info
8776,Failed attempt * to connect to *. Retrying in * ms. (*),warn
13907,Starting leader election support,info
10933,Error in JobGraphsPathCacheListener,error
9591,      adding maven artifact: ,info
17440,"Access Token incorrectly returned from the OpenId Connect Provider while using ""id_token"" response type.",warn
12967,* Task threw an uncaught and unrecoverable exception during shutdown,error
6499,Error : **,warn
