static_text,log_level,project
"Can not resolve  | , please check your network",warn,HBase
cannot determine my address,error,HBase
"* cache is null, try fetching from registry",trace,HBase
Start fetching* from registry,debug,HBase
"The * setting: * ms is less than the * setting: * ms, use the greater one insteadhbase.client.pause.cqtbehbase.client.pause",warn,HBase
Replica  |  returns ,debug,HBase
Cannot process the put ,debug,HBase
resubmitting after  | ms: ,debug,HBase
Caught some exceptions when flushing puts to region server ,debug,HBase
"Processed  |  put requests for  |  and  |  failed | , latency for this send: ",debug,HBase
Caught some exceptions  |  when flushing puts to region server ,debug,HBase
Caught some exceptions  |  when flushing puts to region server ,debug,HBase
"The  |  setting:  |  is smaller than  | , will use  |  instead.",warn,HBase
Failed to get region location ,error,HBase
Region is split but NOT offline: ,warn,HBase
Exception during timerCallbackForWriteBufferPeriodicFlush --> ,error,HBase
close() failed to terminate pool after 10 minutes. Abandoning pool.,warn,HBase
waitForTermination interrupted,warn,HBase
Primary replica returns ,debug,HBase
Imposible? Arrive at an unreachable line...,error,HBase
"Configured value of pauseForCQTBENs is * ms, which is less than the normal pause value * ms, use the greater one instead",warn,HBase
Clear meta cache for *,debug,HBase
Clear meta cache for *,debug,HBase
"Process batch for  |  in  |  from  |  failed, tries=",warn,HBase
Server  |  sent us neither result nor exception for row ' | ' of ,error,HBase
"Try updating * , the old value is *, error=*",debug,HBase
The actual exception when updating * is *,debug,HBase
Will not update * because the exception is null or not the one we care about,debug,HBase
Try updating * with the new location * constructed by *,debug,HBase
Try removing * from cache,debug,HBase
"Configured value of pauseForCQTBENs is * ms, which is less than the normal pause value * ms, use the greater one instead",warn,HBase
Taking restore-failsafe snapshot: ,info,HBase
 completed,info,HBase
 failed with ,info,HBase
 completed,info,HBase
 failed with ,info,HBase
 completed,info,HBase
 failed with ,info,HBase
"Scan table= | , startRow=",trace,HBase
close scanner for  |  failed,debug,HBase
Finished ,trace,HBase
"Advancing internal scanner to startKey at ' | ',  | inclusive",debug,HBase
Heartbeat message received and cache contains Results. Breaking out of scan loop,trace,HBase
scanner failed to close,debug,HBase
scanner failed to close.,warn,HBase
scanner failed to renew lease,debug,HBase
Interrupted while sleeping for expected sleep time  |  ms,warn,HBase
Failed to delete table ,info,HBase
Started truncating ,info,HBase
Started enable of ,info,HBase
Failed to enable table ,info,HBase
Started disable of ,info,HBase
Failed to disable table ,info,HBase
Table is disabled: ,info,HBase
Trying to |  major |  compact  | : ,debug,HBase
Failed to clear block cache for  |  on  | : ,debug,HBase
No serialized HRegionInfo in ,warn,HBase
Waiting a max of  |  ms for snapshot ' | '' to complete. (max  |  ms per retry),debug,HBase
(# | ) Sleeping:  | ms while waiting for snapshot completion.,debug,HBase
Getting current status of snapshot from master...,debug,HBase
Taking restore-failsafe snapshot: ,info,HBase
$$$Empty Message$$$,error,HBase
$$$Empty Message$$$,error,HBase
Deleting restore-failsafe snapshot: ,info,HBase
Unable to remove the failsafe snapshot: ,error,HBase
Waiting a max of  |  ms for procedure ' |  :  | '' to complete. (max  |  ms per retry),debug,HBase
(# | ) Sleeping:  | ms while waiting for procedure completion.,debug,HBase
Getting current status of procedure from master...,debug,HBase
Failed to delete snapshot  |  for table ,info,HBase
Successfully deleted snapshot: ,debug,HBase
Failed to delete snapshot: ,error,HBase
"Call:  | , ",trace,HBase
"Call:  | , ",trace,HBase
Trying to get compaction state of  | : ,debug,HBase
Trying to get compaction state of  | : ,debug,HBase
Cancelling the procedure with procId= |  throws exception ,warn,HBase
Failed to get the procedure with procId= |  throws exception ,warn,HBase
failed to get the procedure result procId=,warn,HBase
Proc-v2 is unsupported on this master: ,warn,HBase
 completed,info,HBase
 failed with ,info,HBase
"Table  |  was not enabled, sleeping. tries=",debug,HBase
No serialized HRegionInfo in ,warn,HBase
"Call to  |  for scanner id =  |  for  |  of  |  failed, , tries =  | , maxAttempts =  | , timeout =  |  ms, time elapsed =  |  ms",warn,HBase
decode scan response failed,warn,HBase
"The future is already done, canceled=*, give up retrying",debug,HBase
", tries =  | , maxAttempts =  | , timeout =  |  ms, time elapsed =  |  ms",warn,HBase
"TimeRange failed, likely caused by integer overflow. ",error,HBase
Cached location: ,trace,HBase
Changed cached location to: ,trace,HBase
Cached location: ,trace,HBase
Merged cached locations: ,trace,HBase
Removed all cached region locations that map to ,trace,HBase
Removed all cached region locations for table ,trace,HBase
Removed  |  from cache,trace,HBase
Removed  |  from cache,trace,HBase
"Removed locations of table:  |  ,row:  |  mapping to server:  |  from cache",trace,HBase
Removed  |  from cache,trace,HBase
Removed  |  from cache,trace,HBase
"The  |  setting:  |  is smaller than  | , will use  |  instead.",warn,HBase
Replica thread interrupted - no replica calls *,error,HBase
No replicas found for *,warn,HBase
"id= | , caught throwable. Unexpected. |  Retrying. Server= | , tableName=",error,HBase
id= |  error for  |  processing ,error,HBase
$$$Empty Message$$$,error,HBase
"id= | , task rejected by pool. Unexpected. |  Server=",warn,HBase
Caught unexpected exception/error: ,warn,HBase
id= |  replica task rejected by pool; no replica calls,warn,HBase
$$$Empty Message$$$,info,HBase
"# | , not sent:  |  operations, ",warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,info,HBase
"Server sent us neither results nor exceptions for  | , numAttempt:",error,HBase
Couldn't update cached region locations: ,error,HBase
"User callback threw an exception for  | , ignoring",error,HBase
"# | , waiting for  |   actions to finish on table: ",info,HBase
"The result is assigned repeatedly! current: | , new:",debug,HBase
Try adding * to cache,trace,HBase
Will not add * to cache because the old value *  is newer than us or has the same server name. Maybe it is updated before we replace it,trace,HBase
"The newnly fetch region * is different from the old one * for row '*', try replaing the old one...",debug,HBase
"Failed to locate region in ' | ', row=' | ', locateType=",warn,HBase
"The fetched location of '*', row='*', locateType=* is *",debug,HBase
"Found * in cache for *, row='*', locateType=*, replicaId=*",trace,HBase
"Found * in cache for *, row='*', locateType=*, replicaId=*",trace,HBase
"Try locate ' | ', row=' | ', locateType= |  in meta",trace,HBase
incorrect format:,info,HBase
"Can't parse the hostname, port and startCode from this string:  | , continuing",warn,HBase
invalid charset,error,HBase
Registering new filter ,info,HBase
Relogin failed,warn,HBase
Connecting to *,trace,HBase
call write error for call #,debug,HBase
Received exception in connection setup.\n,debug,HBase
Received exception in connection setup.\n,debug,HBase
Retrying connect to server:  |  after sleeping  | ms. Already tried  |  time(s).,info,HBase
": starting, connections ",trace,HBase
": stopped, connections ",trace,HBase
Exception encountered while connecting to  | the server : ,debug,HBase
$$$Empty Message$$$,warn,HBase
Exception encountered while connecting to  | the server : ,warn,HBase
$$$Empty Message$$$,error,HBase
Not trying to connect to  |  this server is in the failed servers list,debug,HBase
Connecting to ,debug,HBase
Length of response for connection header:,debug,HBase
"Can't get the connection header response for rpc timeout, please check if server has the correct configuration to support the additional function.",error,HBase
"Error while writing call, call_id:",trace,HBase
ignored,trace,HBase
"got response header  | , totalSize:  |  bytes",trace,HBase
"Unknown callId:  | , skipping over this response of  |  bytes",debug,HBase
shutdown connection to  |  because idle for a long time,trace,HBase
Unrecognized idle state ,warn,HBase
"Codec= | , compressor= | , tcpKeepAlive= | , tcpNoDelay= | , connectTO= | , readTO= | , writeTO= | , minIdleTimeBeforeClose= | , maxRetries= | , fallbackAllowed= | , bind address= | null",debug,HBase
Cleanup idle connection to ,trace,HBase
Not trying to connect to  |  this server is in the failed servers list,debug,HBase
"Call:  | , callTime:  | ms",trace,HBase
The server on  |  is dead - stopping the connection ,info,HBase
Stopping rpc client,debug,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
Added failed server with address  |  to list caused by ,debug,HBase
Master Result is value=,trace,HBase
No token selector found for type ,debug,HBase
RPC Server Kerberos principal name for service= |  is ,debug,HBase
"Use  |  authentication for service  | , sasl=",debug,HBase
Buffer grew from initial bufferSize= |  to  | ; up hbase.ipc.cellblock.building.initial.buffersize?,trace,HBase
Skip exceedThrottleQuota row-key when parse quota result,debug,HBase
unexpected row-key: ,warn,HBase
Failed getting scanner and then failed close on cleanup,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
Use authentication/integrity/privacy as value for rpc protection configurations instead of auth/auth-int/auth-conf.,warn,HBase
Error disposing of SASL client,error,HBase
Error disposing of SASL server,error,HBase
Creating SASL  |  client to authenticate to service at ,debug,HBase
Creating SASL  |  client. Server's Kerberos principal name is ,debug,HBase
SASL client callback: setting username: ,debug,HBase
SASL client callback: setting userPassword,debug,HBase
SASL client callback: setting realm: ,debug,HBase
Sending token size=* from initSASLContext.,trace,HBase
Reading input token size=* for processing by initSASLContext,trace,HBase
SASL client context established. Negotiated QoP *,trace,HBase
Have sent token of size  |  from initSASLContext.,debug,HBase
Server asks us to fall back to simple auth.,debug,HBase
Will read input token of size  |  for processing by initSASLContext,debug,HBase
Will send token of size  |  from initSASLContext.,debug,HBase
Will read input token of size  |  for processing by initSASLContext,debug,HBase
SASL client context established. Negotiated QoP: ,debug,HBase
reading next wrapped RPC packet,debug,HBase
unwrapping token of length:,debug,HBase
wrapping token of length:,debug,HBase
Unable to unwrap key with current master key ' | ',debug,HBase
Ignoring unknown action code ' | ',error,HBase
Ignoring unknown action code '*',error,HBase
Returning token ,debug,HBase
No matching token found,debug,HBase
$$$Empty Message$$$,error,HBase
Exception while reading cells from result.Resetting the scanner to scan again.,error,HBase
"Connect * to * with session timeout=*ms, retries *, retry interval *ms, keepAlive=*ms",debug,HBase
"* to * session expired, close and reconnect",warn,HBase
"* to * failed for * of *, code = *, retries = *",warn,HBase
"* to * failed for * of *, code = *, retries = *, give up",warn,HBase
"* to * failed to connect to zk fo * of *, retries = *",warn,HBase
"* to * failed to connect to zk fo * of *, retries = *, give up",warn,HBase
* to * inactive for *ms; closing (Will reconnect when new requests),trace,HBase
Close zookeeper connection * to *,debug,HBase
"Unexpected getShortMidpointKey result, fakeKey: | , firstKeyInBlock:",error,HBase
"Unexpected getShortMidpointKey result, lastKeyOfPreviousBlock: | , fakeKey:",error,HBase
instantiating HBaseConfiguration() is deprecated. Please use HBaseConfiguration#create() to construct a plain Configuration,warn,HBase
Error thrown: ,warn,HBase
ClassNotFound: ConfServlet,debug,HBase
Config option \,warn,HBase
Config option \ |  the Configuration getPassword method.,debug,HBase
Config option \,debug,HBase
Credential.getPassword method is not available. |  Falling back to configuration.,debug,HBase
Chore:  |  missed its start time,info,HBase
Chore:  |  was stopped,info,HBase
Caught error,error,HBase
"Trying to login with a different user: *, existed user is *.",warn,HBase
"Error while trying to login as user * through *, with message: *.hbase.client.keytab.principalhbase.client.keytab.file",error,HBase
Error resolving host name: ,error,HBase
Error while trying to perform the initial login: ,error,HBase
Got exception while trying to refresh credentials: ,error,HBase
Could not successfully schedule chore: ,info,HBase
Chore service for:  |  had  |  on shutdown,info,HBase
$$$Empty Message$$$,trace,HBase
$$$Empty Message$$$,trace,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
Error getting available for error message - ignoring,trace,HBase
Partial cell read caused by EOF,trace,HBase
$$$Empty Message$$$,debug,HBase
Created with bufferSize=* and maxPoolSize=*,info,HBase
Pool already reached its max capacity :  |  and no free buffers now. Consider increasing the value for ' | ' ?,debug,HBase
Pool already reached its max capacity :  |  and no free buffers now. Consider increasing the value for ' | ' ?,info,HBase
Creating a new offheap ByteBuffer of size: ,trace,HBase
"Trying to put a buffer, not created by this pool! Will be just ignored",warn,HBase
Retrieved compressor  |  from pool.,trace,HBase
Compressor obtained from CodecPool is already finished(),warn,HBase
Returning compressor  |  to pool.,trace,HBase
Retrieved decompressor  |  from pool.,trace,HBase
Deompressor obtained from CodecPool is already finished(),warn,HBase
Returning decompressor  |  to pool.,trace,HBase
Ending decompressor ,trace,HBase
Unable to decrypt data with current cipher algorithm ' | '. Trying with the alternate cipher algorithm ' | ' configured.,debug,HBase
Installed  |  into key provider cache,debug,HBase
"Could not instantiate specified RNG, falling back to default",warn,HBase
"Could not instantiate specified RNG, falling back to default",warn,HBase
"RowNumber:  | , onDiskDataSize:  | , totalOnDiskSize: ",trace,HBase
Current user name is *,trace,HBase
SpanReceiver  |  was loaded successfully.,info,HBase
Unable to close SpanReceiver correctly: ,warn,HBase
Warning: using deprecated configuration key  | .  Please use  |  instead.,warn,HBase
Conflicting values for  |  and  | .  Using ,warn,HBase
"Given interval value is not a number, parsing for human readable format",debug,HBase
Tool configuration is not initialized,error,HBase
$$$Empty Message$$$,error,HBase
Use -h or --help for usage instructions.,error,HBase
Error when parsing command-line arguments,error,HBase
Use -h or --help for usage instructions.,error,HBase
Error running command-line tool,error,HBase
Error running command-line tool,error,HBase
Not able to load class or method for com.sun.management.UnixOperatingSystemMXBean.,warn,HBase
Not able to get the number of open file descriptors,warn,HBase
Not able to close the BufferedReader,warn,HBase
Not able to close the InputStreamReader,warn,HBase
Not able to close the InputStream,warn,HBase
Not able to close the BufferedReader,warn,HBase
Not able to close the InputStreamReader,warn,HBase
Not able to close the InputStream,warn,HBase
Not able to get the max number of file descriptors,warn,HBase
Not able to close the reader,warn,HBase
Not able to close the InputStream,warn,HBase
$$$Empty Message$$$,error,HBase
Using Unsafe to estimate memory layout,debug,HBase
Not using Unsafe to estimate memory layout,debug,HBase
  |  ,debug,HBase
"Primitives= | , arrays= | , references= | , refSize  | , size= | , prealign_size=",debug,HBase
sun.misc.Unsafe is not available/accessible,warn,HBase
"Allocating buffers total= | , sizePerBuffer= | , count=",info,HBase
Buffer creation interrupted,error,HBase
$$$Empty Message$$$,error,HBase
$$$Empty Message$$$,error,HBase
sun.misc.Unsafe is not accessible,warn,HBase
Thread: |  exited with Exception:,warn,HBase
; joinwait=,warn,HBase
sleep interrupted,warn,HBase
"Can not find hadoop 2.7+ printThreadInfo method, try hadoop hadoop 2.6 and earlier",info,HBase
Cannot find printThreadInfo method. Check hadoop jars linked,warn,HBase
"We slept  | ms instead of  | ms, this is likely due to a long  | garbage collecting pause and it's usually bad, see  | http://hbase.apache.org/book.html#trouble.rs.runtime.zkexpired",warn,HBase
Exception caught during division,error,HBase
"* is trying to release lock entry *, but it is not the holder.",warn,HBase
Constructed invalid call. class= |  method= |  types=,error,HBase
SecurityException calling method. class= |  method= |  types=,error,HBase
Sleeping * ms before retry #*...,trace,HBase
FileSystem doesn't support getDefaultBlockSize,info,HBase
Doesn't have access to getDefaultBlockSize on FileSystems,info,HBase
FileSystem doesn't support getDefaultReplication,info,HBase
Doesn't have access to getDefaultReplication on FileSystems,info,HBase
"Creating file= |  with permission= | , overwrite=",trace,HBase
"Incorrect umask attempted to be created:  | , using default file permissions.",warn,HBase
We have chosen not to throw exception but some unexpectedly thrown out,warn,HBase
"We were passed a null storagePolicy, exiting early.",trace,HBase
"We were passed an empty storagePolicy, exiting early.",trace,HBase
"We were passed the defer-to-hdfs policy *, exiting early.",trace,HBase
Failed to invoke set storage policy API on FS,trace,HBase
"FileSystem doesn't support setStoragePolicy; HDFS-6584, HDFS-9345 not available. This is normal and expected on earlier Hadoop versions.",warn,HBase
"FileSystem doesn't support setStoragePolicy; HDFS-6584, HDFS-9345 not available. This is normal and expected on earlier Hadoop versions.",debug,HBase
"No access to setStoragePolicy on FileSystem from the SecurityManager; HDFS-6584, HDFS-9345 not available. This is unusual and probably warrants an email to the user@hbase mailing list. Please be sure to include a link to your configs, and logs that include this message and period of time before it. Logs around service start up will probably be useful as well.",warn,HBase
"No access to setStoragePolicy on FileSystem from the SecurityManager; HDFS-6584, HDFS-9345 not available. This is unusual and probably warrants an email to the user@hbase mailing list. Please be sure to include a link to your configs, and logs that include this message and period of time before it. Logs around service start up will probably be useful as well.",debug,HBase
Set storagePolicy= |  for path=,debug,HBase
Unable to set storagePolicy= |  for path= | .  | DEBUG log level might have more details.,warn,HBase
Unable to set storagePolicy= |  for path=,debug,HBase
"Given storage policy, ' | ', was rejected and probably  | isn't a valid policy for the version of Hadoop you're running. I.e. if you're  | trying to use SSD related policies then you're likely missing HDFS-7228. For  | more information see the 'ArchivalStorage' docs for your Hadoop release.",debug,HBase
"The underlying FileSystem implementation doesn't support setStoragePolicy. This is probably intentional on their part, since HDFS-9345 appears to be present in your version of Hadoop. For more information check the Hadoop documentation on 'ArchivalStorage', the Hadoop FileSystem specification docs from HADOOP-11981, and/or related documentation from the provider of the underlying FileSystem (its name should appear in the stacktrace that accompanies this message). Note in particular that Hadoop's local filesystem implementation doesn't support storage policies.",debug,HBase
 doesn't exist,trace,HBase
 doesn't exist,trace,HBase
File system contents for path ,debug,HBase
/,debug,HBase
$$$Empty Message$$$,debug,HBase
"Configuration \ | be set to true. |  HBase checksum doesn't require  | it, see https://issues.apache.org/jira/browse/HBASE-6868.",warn,HBase
Couldn't use reflection with builder API,warn,HBase
Couldn't use reflection with builder API,warn,HBase
"Your Hadoop installation's StreamCapabilities implementation doesn't match our understanding of how it's supposed to work. Please file a JIRA and include the following stack trace. In the mean time we're interpreting this behavior difference as a lack of capability support, which will probably cause a failure.",warn,HBase
$$$Empty Message$$$,info,HBase
"Failed to identify the fs of dir  | , ignored",warn,HBase
Class  |  not found - using dynamical class loader,debug,HBase
Class  |  already loaded,debug,HBase
Finding class: ,debug,HBase
"Loading new jar files, if any",debug,HBase
Finding class again: ,debug,HBase
Failed to load new jar ,warn,HBase
Failed to check remote dir status ,warn,HBase
Ignored non-jar file ,debug,HBase
Failed to load new jar ,warn,HBase
Found classloader  |  for ,debug,HBase
Found classloader  |  for ,debug,HBase
"THIS SHOULD NOT HAPPEN, a class loader |  is already cached for ",warn,HBase
Skipping exempt class  |  - delegating directly to parent,debug,HBase
Class  |  already loaded,debug,HBase
Finding class: ,debug,HBase
Class  |  not found - delegating to parent,debug,HBase
Class  |  not found in parent loader,debug,HBase
Checking parent first for resource ,debug,HBase
$$$Empty Message$$$,info,HBase
Could not write thread info about ' | ' due to a string encoding issue.,warn,HBase
= |  is inferior to ,warn,HBase
= |  is superior to ,warn,HBase
before:  |  ,info,HBase
after:  |  ,info,HBase
No resource analyzer,info,HBase
No resource analyzer,info,HBase
No initial values,warn,HBase
Looking in  | ; isJar=,debug,HBase
Failed to look for classes in  | : ,warn,HBase
Failed to get next entry from  | : ,warn,HBase
Ignoring duplicate class ,warn,HBase
 does not exist,warn,HBase
Failed to get files from ,warn,HBase
Ignoring duplicate class ,warn,HBase
Failed to instantiate or check  | : ,debug,HBase
Failed to instantiate or check  | : ,debug,HBase
"Sleep interrupted, {0}",warn,HBase
Waiting up to [{0}] milli-secs(wait.for.ratio=[{1}]),info,HBase
Waiting interrupted after [{0}] msec,warn,HBase
Waiting timed out after [{0}] msec,warn,HBase
"Failed to get explanation, ",error,HBase
Min fom all regions is: ,debug,HBase
Maximum from this region is  | : ,info,HBase
Minimum from this region is  | : ,info,HBase
Sum from this region is  | : ,debug,HBase
Row counter from this region is  | : ,info,HBase
"compressed= | , compression type= | , compression codec= | , userToken=",info,HBase
"Hadoop security is enable, but no found of user token",warn,HBase
$$$Empty Message$$$,error,HBase
"No found of user credentials, but a token was got from user request",warn,HBase
SecureBulkLoadEndpoint is deprecated. It will be removed in future releases.,warn,HBase
Secure bulk load has been integrated into HBase core.,warn,HBase
Setting sum result to -1 to indicate error,info,HBase
Setting sum result to -1 to indicate error,info,HBase
Returning sum  |  for region ,info,HBase
Setting sum result to -1 to indicate error,info,HBase
Setting sum result to -1 to indicate error,info,HBase
Returning result ,info,HBase
Setting sum result to -1 to indicate error,info,HBase
Setting sum result to -1 to indicate error,info,HBase
Warmed up region location cache for  |  got ,info,HBase
Failed to sent put  | .,info,HBase
exception while creating/destroying Connection or BufferedMutator,info,HBase
Done refreshing HFiles,debug,HBase
Refresh HFiles from table  |   failed: ,error,HBase
Create table took: ,info,HBase
Refreshing HFiles for region:  |  and store:  | class:,debug,HBase
Exception while trying to refresh store files: ,error,HBase
$$$Empty Message$$$,error,HBase
$$$Empty Message$$$,error,HBase
Creating MemcachedBlockCache,info,HBase
MemcachedBlockCache can not cache Cacheable's of type ,debug,HBase
Exception pulling from memcached [  |  ]. Treating as a miss.,debug,HBase
Error deleting ,warn,HBase
Error deleting ,debug,HBase
Error deserializing data from memcached,warn,HBase
$$$Empty Message$$$,warn,HBase
$$$Empty Message$$$,warn,HBase
Ignoring unknown Metric class ,info,HBase
Ignoring Gauge ( | ) with unhandled type: ,warn,HBase
doRun called: ,trace,HBase
Registering adapter for the MetricRegistry: ,debug,HBase
Registering  |  ,info,HBase
Removing adapter for the MetricRegistry: ,debug,HBase
Error trying to remove  |  from ,info,HBase
Creating new MetricsRegionSourceImpl for table  |  ,debug,HBase
Removing region Metrics: ,trace,HBase
Error trying to remove  |  from ,info,HBase
Creating new MetricsTableSourceImpl for table '*',debug,HBase
Removing table Metrics for table ,trace,HBase
clearing JMX Cache,trace,HBase
Clearing JMX mbean cache.,trace,HBase
error clearing the jmx it appears the metrics system hasn't been started,debug,HBase
$$$Empty Message$$$,trace,HBase
Unable to remove object name from cache: ,trace,HBase
Received exception while trying to access Hadoop Metrics classes via reflection.,trace,HBase
 is incomplete. Sending auto-refresh header.,info,HBase
Jetty request log can only be enabled using Log4j,warn,HBase
Http request log for  |  could not be created,warn,HBase
Http request log for  |  is not defined,info,HBase
Jetty request log for  |  was of the wrong class,warn,HBase
adding path spec: ,info,HBase
ASYNC_PROFILER_HOME environment variable and async.profiler.home system property not specified. Disabling /prof endpoint.,info,HBase
"addJerseyResourcePackage: packageName= | , pathSpec=",info,HBase
Adding Kerberos (SPNEGO) filter to ,info,HBase
Added filter  |  (class= | ) to context ,info,HBase
Added filter  |  (class= | ) to context ,info,HBase
Added global filter ' | ' (class= | ),info,HBase
HttpServer.start() threw a non Bind IOException,info,HBase
HttpServer.start() threw a MultiException,info,HBase
Jetty bound to port ,info,HBase
Error while stopping listener for webapp,error,HBase
Error while stopping web app context for webapp ,error,HBase
Error while stopping web server for webapp ,error,HBase
Servlet process PID:  |  asyncProfilerHome: ,info,HBase
Unable to acquire lock in  |  seconds. Another instance of profiler might be running.,warn,HBase
Interrupted while acquiring profile lock.,warn,HBase
Caught an exception while processing JMX request,error,HBase
Caught an exception while processing JMX request,error,HBase
"dfs.web.ugi should not be used. Instead, use hbase.http.staticuser.user.",warn,HBase
Unable to get value from MBean=  | for attribute= |  ,error,HBase
keys and values arrays must be same size,error,HBase
keys and values arrays can not be empty;,error,HBase
Running command async: ,info,HBase
Listing beans for ,trace,HBase
Getting attribute  |  of  |  threw ,trace,HBase
Getting attribute  |  of  |  threw an exception,error,HBase
getting attribute  |  of  |  threw an exception,error,HBase
getting attribute  |  of  |  threw an exception,error,HBase
getting attribute  |  of  |  threw an exception,error,HBase
getting attribute  |  of  |  threw an exception,error,HBase
Problem while trying to process JMX query:  |  with MBean ,error,HBase
Problem while trying to process JMX query:  |  with MBean ,error,HBase
Getting attribute  |  of  |  threw ,trace,HBase
getting attribute  |  of  |  threw an exception,error,HBase
getting attribute  |  of  |  threw an exception,debug,HBase
getting attribute  |  of  |  threw an exception,error,HBase
getting attribute  |  of  |  threw an exception,error,HBase
getting attribute  |  of  |  threw an exception,error,HBase
"get:  | = | ,  | =",info,HBase
Performing  |  command against  |  on  | ...,info,HBase
Executing POST against  |  with body  | ...,info,HBase
Executing GET against  | ...,info,HBase
